author_display,title_display
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Training of civil aircraft mechanics : hearing before a subcommittee of the Committee on Interstate and Foreign Commerce, House of Representatives, Seventy-seventh Congress, first session, on H.R. 5695, a bill to amend the Civilian Pilot Training Act of 1939 so as to provide for the training of civilian aviation mechanics, December 8, 1941"
United States. Congress. Joint Economic Committee. Subcommittee on Economic Stabilization.,"Monetary policy: 1955-56 : hearings before the Subcommittee on Economic Stabilization of the Joint Economic Committee, Congress of the United States, Eighty-fourth Congress, second session, pursuant to sec. 5 (a) of Public law 304, 79th Congress. December 10 and 11, 1956"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Aviation : hearings before the Committee on Interstate and Foreign Commerce, House of Representatives, Seventh-fifth Congress, first session, on H.R. 5234, a bill to amend the Interstate commerce act as amended, by providing for the regulation of the transportation of passengers and property by air carriers in interstate, overseas, and foreign commerce, and for other purposes, and H.R. 4652, a bill to promote the safety of scheduled air transportation, March 30, 31, April 1, 2, 6, 7, and 8, 1937"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Business research : hearing before a subcommittee of the Committee on interstate and Foreign Commerce, House of Representatives, Seventy-fifth Congress, first session, on H.R. 4954, a bill to aid business and economic research in connection with collegiate schools of business in the several states and territorial universities, April 12, 1937"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Promote business and economic research : hearing before a subcommittee of the Committee on Interstate and Foreign Commerce, House of Representatives, Seventy-sixth Congress, first session, on H.R. 3395, to promote business and economic research in the United States by establishing and maintaining, in connection with state university schools of business administration, research stations to cooperate with the Department of Commerce, April 3, 1939"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Car shortage : hearings before the Committee on Interstate and Foreign Commerce of the House of Representatives, Sixty-fourth Congress, second session, on H.R. 19546, H.R. 20256 and H.R. 20352, February 1, 9, and 13, 1917"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Establish, extend, and coordinate business and economic research activities : hearing[s] before the Committee on Interstate and Foreign Commerce, House of Representatives, Seventy-sixth Congress, third session, on H.R. 3395, to promote business and economic research in the United States by establishing and maintaining, in connection with state university schools of business administration, research stations to cooperate with the Department of Commerce, January 10 and 11, 1940"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Cable-landing licenses : hearings before the Committee on Interstate and Foreign Commerce, House of Representatives, Sixty-Seventh Congress, first session, on S.535 ... May 10, 11, 12, and 13, 1921"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Interstate shipment of immature calves : hearings before the Committee on Interstate and Foreign Commerce of the House of Representatives on the bill H.R. 17222, to regulate the interstate shipment of immature calves, April 3 and 16, 1912"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Cape Fear River, N.C. : hearings before a subcommittee of the Committee on Interstate and Foreign Commerce, House of Representatives, Seventy-fifth Congress, third session, on H.R. 9073 ... H.R. 1046 ... April 5 and 7, and May 2, 1938"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Hearings before a subcommittee of the Committee on Interstate and Foreign Commerce of the House of Representatives, Sixty-third Congress, second session, on bills proposing to amend the Carmack amendment, September 24, 25, and 30, 1914"
Library of Congress. Legislative Reference Service.,Soviet economic growth: a comparison with the United States : a study prepared for the Subcommittee on Foreign Economic Policy of the Joint Economic Committee
United States. Congress. House. Committee on Interstate and Foreign Commerce.,Classification of bills : pending before Committee and their distribution to Subcommittees for consideration
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Freight rates on coal : hearings before the Committee on Interstate and Foreign Commerce, House of Representatives, Sixty-third Congress, first session, on H. Res. 217 ... August 22, 1913"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Mining and transporting of coal : hearings before the Committee on Interstate and Foreign Commerce of the House of Representatives, Sixty-third Congress, second session, on H.R.13354, prohibiting common carriers from owning of leasing coal lands, February 5,1914 and May 8, 1914"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Authority to Interstate Commerce Commission to examine correspondence files of carriers : hearings before the Committee on Interstate and Foreign Commerce of the House of Representatives, Sixty-fourth Congress, first session, March 3, 1916"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Daylight-saving time : hearings before a subcommittee of the Committee on Interstate and Foreign Commerce, House of Representatives, Seventy-seventh Congress, first session, on H.R. 5343, a bill to promote the national defense and the conservation of electrical energy by permitting the establishment of daylight-saving time"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Research relating to dental diseases : hearing before a subcommittee of the Committee on Interstate and Foreign Commerce, House of Representatives, Seventy-seventh Congress, first session, on S. 194, an act to authorize research by the Public Health Service relating to the cause, diagnosis, and treatment of dental diseases, July 14, 1941"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Prohibit interstate commerce of dentures in violation of state dental laws : hearing[s] before a subcommittee of the Committee on Interstate and Foreign Commerce, House of Representatives, Seventy-seventh Congress, second session, on H.R. 5674, a bill to protect the public health by the prevention of certain practices leading to dental disorders; and to prevent the circumvention of certain state laws regulating the practice of dentistry. February 3 and 4, 1942"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"""Seeing-eye"" dogs : hearing before a subcommittee of the Committee on Interstate and Foreign Commerce, House of Representatives, Seventy-fifth Congress, first session, on H.R. 6049, a bill to amend the Interstate Commerce Act, May 12, 1937"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Engineering experiment stations and physical sciences research : hearings before the Committee on Interstate and Foreign Commerce, House of Representatives, Seventy-seventh Congress, first session, on H.R. 4454, a bill to aid in measures for national defense by the development and testing of new devices and materials and by directing natural resources to that end, and at all times to increase industrial enployment and to enhance national prosperity by aiding and promoting research and the training of research workers in the engineering experiment stations connected with colleges and schools of engineering in the several state and territorial universities and colleges, and for other purposes; H.R.3366, a bill to promote industry and commerce through research in physical sciences, June 3 and 4, 1941"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Federal motion picture commission : hearing before the Committee on Interstate and Foreign Commerce, House of representatives, Seventy-third Congress, second session, on H.R. 6097, to provide for inspecting, classifying, and cataloging motion pictures, both silent and talking, before they enter interstate or foreign commerce, to create a federal motion picture commission, to define its powers, and for other purposes. March 19, 1934"
United States.,Eight-hour laws
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Federal Trade Commission act amendments : hearing before the Committee on Interstate and Foreign Commerce, House of Representatives, Seventy-fourth Congress, second session, on S. 3744, to amend the act creating the Federal Trade Commission, to define its powers and duties, and for other purposes, May 27, 28, and 29, 1936"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"To amend the Federal Trade Commission act : hearing[s] before the Committee on Interstate and Foreign Commerce, House of Representatives, Seventy-fifth Congress, first session, on H.R. 3143, to amend the act creating the Federal Trade Commission, to define its powers and duties, and for other purposes, February 18 and 19, 1937"
United States. Congress. House. Committee on Banking and Currency.,"Extension of Defense Production Act of 1950 : hearing before the Committee on Banking and Currency, House of Representatives, Eighty-fifth Congress, second session, on H.R. 10969. June 10, 1958"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Hearings before the Committee on Interstate and Foreign Commerce of the House of Representatives on H. Res. 357, relative to fire insurance and fire losses in the United States, March 25, 1912"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Firearms : hearing before a subcommittee of the Committee on Interstate and Foreign Commerce, House of Representatives, Seventy-fifth Congress, first session, on S. 3, to regulate commerce in firearms, June 22, 1937"
United States. Congress. House. Committee on Banking and Currency.,"Increase lending authority of Export-Import Bank : hearings before the Committee on Banking and Currency, House of Representatives, Eighty-fifth Congress, second session, on H.R. 10459. February 25 and 26, 1958"
United States. Congress. House. Committee on Banking and Currency.,"Extension of Export Control Act of 1949 : hearing before ..., 85-2 on H.R. 10127, March 4, 1958"
United States. Congress. House. Committee on Banking and Currency. author.,"Export-Import Bank loans : hearing before the Committee on Banking and Currency, House of Representatives, Eighty-fifth Congress, first session, on H. R. 4136. March 19, 1957"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Classification of freight : hearings before the Committee on Interstate and Foreign Commerce, House of Representatives, Sixty-second Congress, third session, on S. 6099"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Regulation of freight forwarders : hearings before the Committee on Interstate and Foreign Commerce, House of Representatives, 77th Congress, 1st session, on H.R. 3684, a bill to amend the Interstate Commerce Act, as amended, to provide for the regulation of freight forwarders, March 1941"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"The ""full-crew"" law : hearings before the Committee on Interstate and Foreign Commerce of the HOuse of Representatives on the bill H.R. 13911, June 8, 1912"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Natural gas act amendments : hearings before the Committee on Interstate and Foreign Commerce, House of Representatives, Seventy-seventh Congress, first session, on H.R. 5249, a bill to amend Section 7 of the Natural gas act, July 10 and 11, 1941"
United States. Congress. House. Committee on Interstate and Foreign Commerce. Bridge Subcommittee.,"Golden Gate bridge, California tolls on government traffic : hearings before the Bridge Subcommittee of the Committee on Interstate and Foreign Commerce, House of Representatives, 78th Congress, 1st session, on H.R. 877, a bill to authorize the charging of tolls for the passage or transit of government traffic over the Golden Gate bridge"
United States. Congress. House. Committee on Interstate and Foreign Commerce.,"Hearings before the Committee on Interstate and Foreign Commerce of the House of Representatives on grain inspection and grading bills, May 20, 1910"
